received_on,operator,volunteer,event_type,response_date,age,sex,duration,location,location_slug,location_type,topics_list,topics_count,topic_A1,topic_A2,topic_B1,topic_B2,topic_B3,topic_B4,topic_C1,topic_C2,topic_D1,topic_D2,topic_D3,topic_E1,topic_E10,topic_E2,topic_E3,topic_E4,topic_E5,topic_E6,topic_E7,topic_E8,topic_E9,topic_F1,topic_F10,topic_F11,topic_F12,topic_F2,topic_F3,topic_F4,topic_F5,topic_F6,topic_F7,topic_F8,topic_F9,topic_G1,topic_H1,topic_H2,topic_H3
2013-07-11T13:09:01.177000,malitel,Abderhamane,RING,2013-07-11T13:09:00,,U,0,,,,H2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,
2013-07-11T10:50:07.778000,malitel,Abderhamane,RING,2013-07-11T11:32:00,27,M,3,SOTUBA,91091889,village,E1,1,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-11T12:26:08,orange,Abderhamane,CALL_ME,2013-07-11T12:30:00,18,M,5,NIAMAKORO,91096496,village,A1,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-11T11:43:28.738000,orange,Abderhamane,RING,2013-07-11T11:57:00,25,M,4,YIRIMADJO,91096892,village,E7,1,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
2013-07-11T10:49:29,orange,Abderhamane,SMS_HOTLINE,2013-07-11T10:48:00,22,F,3,BACO-DJIKORONI,91095001,village,E7,1,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
2013-07-11T10:56:18,orange,Abderhamane,CALL_ME,2013-07-11T11:17:00,,M,2,KATI,25000000,cercle,"E1, E8",2,,,,,,,,,,,,true,,,,,,,,true,,,,,,,,,,,,,,,,,
2013-07-11T10:48:38,orange,Abderhamane,CHARGE_ME,2013-07-11T11:50:00,18,U,2,N'TOMINKOROBOUGOU,91093661,village,E1,1,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-11T10:48:16.658000,orange,Abderhamane,RING,2013-07-11T11:13:00,23,M,2,BACO-DJIKORONI,91095001,village,E1,1,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-11T10:48:15,orange,Abderhamane,CALL_ME,2013-07-11T11:11:00,24,M,1,SAME,91093881,village,E1,1,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-11T10:44:38,malitel,Abderhamane,CALL_ME,2013-07-11T11:00:00,,U,0,,,,H2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,
2013-07-11T10:16:54.048000,malitel,Abderhamane,RING,2013-07-11T10:16:00,21,F,3,NIENA,31061000,commune,F9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,
